   MB       Rsize        avg              max                  min
  10.0  8.388608E7  584.5121566251606  762.2308842478134  306.61207328652523
  10.0  8.388608E7  586.7080742950889  747.6182882039416  403.83209533544306
  10.0  8.388608E7  587.7777554198968  755.2695805511397  349.4959237994109
  10.0  8.388608E7  578.7997694676783  745.924017988847  347.74598867526754
  10.0  8.388608E7  573.7823119620938  743.1927169451285  331.46851383121157
  10.0  8.388608E7  581.3951580704612  747.3550133557485  358.8519881251479
  10.0  8.388608E7  580.8475327918461  743.7713254665185  378.8071989092362
  10.0  8.388608E7  577.4576108974759  742.7772357519433  359.74760779737517
  10.0  8.388608E7  584.7810409595149  750.5214452376842  361.80946551251594
  10.0  8.388608E7  568.7529887478859  738.4211378672642  314.7143480628683
  10.0  8.388608E7  579.1467060334967  742.0017452981681  376.69945375816314
  10.0  8.388608E7  580.6861536818051  754.4070541765052  315.7559956221664
  10.0  8.388608E7  576.3678732513471  748.617936876362  313.27135354452014
  10.0  8.388608E7  588.0787564293322  756.0870434260873  348.7633524245309
  10.0  8.388608E7  579.8050837246276  743.7655879757754  368.9990309566863
  10.0  8.388608E7  592.4893763135135  761.6671645790686  345.64140385166144
  10.0  8.388608E7  588.2094986192795  752.5646879584096  376.6265876981595
  10.0  8.388608E7  593.125702661031  758.2237767840018  364.419232541416
  10.0  8.388608E7  585.6275620751971  751.8232503525887  351.7802008687252
  10.0  8.388608E7  568.5620499213445  740.5519095519215  313.58530630668895
  10.0  8.388608E7  558.0421885721263  728.3925767122179  301.6354117479592
  10.0  8.388608E7  569.6532125210925  740.7461656427878  303.97020725564954
  10.0  8.388608E7  574.0547011612948  743.3803065539549  321.22853253050476
  10.0  8.388608E7  566.8720075147417  733.5378412337677  337.07494044939256
  10.0  8.388608E7  583.508497560007  754.357190465681  335.2729864359331
  10.0  8.388608E7  581.9042035468743  748.423560357126  354.303582642655
  10.0  8.388608E7  576.0936635774426  736.8611336959818  395.9298166337544
  10.0  8.388608E7  584.3069881531652  748.8457167427463  368.0094816651409
  10.0  8.388608E7  570.2873338467988  745.4759433389479  296.2822093116596
  10.0  8.388608E7  588.4684381805248  755.7425263970082  356.1222958775777
  10.0  8.388608E7  578.1126819029087  743.0501951022886  361.76436092954106
  10.0  8.388608E7  592.5687176590783  755.230830463187  388.3833289864999
  10.0  8.388608E7  582.8923958793575  746.9879912569547  373.9049889036115
  10.0  8.388608E7  573.65404148569  743.1393263527497  329.286302473186
  10.0  8.388608E7  570.890662953264  733.0902976444247  373.1715168190382
  10.0  8.388608E7  586.3411590884938  757.3955099676776  337.2182196369075
  10.0  8.388608E7  584.949664573619  753.8246614222768  341.32340963309576
  10.0  8.388608E7  568.6268878143002  739.3908446291088  313.8353308214539
  10.0  8.388608E7  588.7018348753986  755.5344729608823  360.8654755379915
  10.0  8.388608E7  574.229283701932  737.9429286053302  360.2872763574826
  10.0  8.388608E7  596.5198131804453  764.0832930760063  355.6766799796413
  10.0  8.388608E7  577.6650084826879  741.1501249137785  366.8677253093396
  10.0  8.388608E7  586.8839114289218  752.7609224771414  360.3305830909779
  10.0  8.388608E7  560.1407988440744  721.7806949567573  376.13354851745345
  10.0  8.388608E7  583.9020682996164  751.885390582746  340.0053022762017
  10.0  8.388608E7  595.151954366551  765.5829395193191  343.4956673859382
  10.0  8.388608E7  595.9730792851637  763.1325637468906  366.6895085237425
  10.0  8.388608E7  577.132209079552  747.1418245188793  330.56057663288317
  10.0  8.388608E7  575.0561238330761  739.5704462986301  365.928333532432
  10.0  8.388608E7  575.0083400640605  741.5813254891818  343.11352788165385
  10.0  8.388608E7  577.6743198841841  742.8489806926824  354.66464191615967
  10.0  8.388608E7  562.2521760765343  732.2302128650421  330.4493515927014
  10.0  8.388608E7  575.8455245335123  742.7156607474642  341.08455110089284
  10.0  8.388608E7  579.0529622920303  740.8590189227642  383.9347002942037
  10.0  8.388608E7  571.7196928209983  734.9363948992223  364.04309178075175
  10.0  8.388608E7  579.1500125068227  748.2072603883217  332.0851373316758
  10.0  8.388608E7  586.7891063820279  755.9716773245635  344.4628300576302
  10.0  8.388608E7  570.1197304564951  739.70141926011  321.56615859961715
  10.0  8.388608E7  576.3262853403162  743.7462906380314  345.24530210600375
  10.0  8.388608E7  570.0280846333634  748.0077567149065  293.9851118802976
  10.0  8.388608E7  595.601130052805  763.9426276983287  352.7111730617462
  10.0  8.388608E7  581.4702660143405  751.1718197951004  332.7082913686582
  10.0  8.388608E7  576.3446232265227  752.480682586735  302.7412321291356
  10.0  8.388608E7  579.8827152685382  742.6435097193587  376.3323742508176
  10.0  8.388608E7  585.1337871449666  753.8425444047828  326.8756164695928
  10.0  8.388608E7  594.5622839735183  764.8347961300882  343.92304467905876
  10.0  8.388608E7  573.6413578605244  740.2242958131006  344.5812544073484
  10.0  8.388608E7  600.2396338072604  767.9733323405231  369.1115942837276
  10.0  8.388608E7  580.1317241069012  748.84318502072  333.5328021480558
  10.0  8.388608E7  583.4636480653517  750.0469172008059  355.0291720498249
  10.0  8.388608E7  582.2537506187929  749.9560480715301  341.38775586006636
  10.0  8.388608E7  590.3886679164639  758.3102243703653  348.89019308147516
  10.0  8.388608E7  582.2411503155563  750.9532737409996  330.6092620907428
  10.0  8.388608E7  570.1024053348814  740.1181469569754  314.34756186795687
  10.0  8.388608E7  589.7576177349448  759.278975142722  335.8749469249603
  10.0  8.388608E7  578.1167155655388  749.5957614451596  326.71680469602103
  10.0  8.388608E7  573.5406744533752  741.965239108979  332.26519936173696
  10.0  8.388608E7  574.3043205984633  739.8874915716395  351.3861092353295
  10.0  8.388608E7  567.6817539705629  735.959150089946  318.51889719445035
  10.0  8.388608E7  602.3797088450597  766.6145265129481  387.80202072225086
  10.0  8.388608E7  581.9207314057905  748.660820691291  342.5531191738547
  10.0  8.388608E7  568.1419380469331  732.6769267863583  349.2922119683158
  10.0  8.388608E7  577.9919029060873  747.0568261619327  333.96541073915
  10.0  8.388608E7  574.7859962559098  739.7229831369951  355.8120692453729
  10.0  8.388608E7  592.7426430527302  766.0138478114618  329.8180402037674
  10.0  8.388608E7  582.5844101712138  752.5813325847726  325.2758231628149
  10.0  8.388608E7  579.0822118217651  753.6811344387487  307.12835581857087
  10.0  8.388608E7  575.9417913501511  750.3879531530372  317.72005511123075
  10.0  8.388608E7  572.2048384786533  741.3710039229604  329.17258990171166
  10.0  8.388608E7  569.1778914341005  739.7379323869826  312.4068848155358
  10.0  8.388608E7  572.5404389796447  740.4403827342684  333.4079533896333
  10.0  8.388608E7  576.1515726373193  740.5254899852185  360.3454363924217
  10.0  8.388608E7  589.1231963781702  753.7497731471423  375.68045227126737
  10.0  8.388608E7  587.6201055732269  755.9942193752995  338.2981538907928
  10.0  8.388608E7  609.6500201714626  774.3670131086203  394.738736290043
  10.0  8.388608E7  577.1321378523052  738.6662621089583  385.8319714730339
  10.0  8.388608E7  580.83477474431  751.2607999172063  331.9977295175615
  10.0  8.388608E7  580.4854833564273  753.0308193602385  314.46321009322344
  10.0  8.388608E7  597.5426512559119  762.7728795596068  376.88208865456096
  10.0  8.388608E7  584.274472371646  751.1760488666845  355.57351510017014
