   MB       Rsize        avg              max                  min
  10.0  8.388608E7  581.9499025376405  757.3584247666611  315.66744730959005
  10.0  8.388608E7  587.4090180435862  761.5544387414941  315.5837415894562
  10.0  8.388608E7  575.4849728468189  749.7120051117553  308.83082518585684
  10.0  8.388608E7  577.5322081933898  744.7898335093057  344.430910803116
  10.0  8.388608E7  582.475639883162  751.4339591485092  343.26567411195754
  10.0  8.388608E7  577.9193426626263  752.609072818385  310.0300429530331
  10.0  8.388608E7  594.5995970488  766.4371739886217  338.41611697963145
  10.0  8.388608E7  570.3232582824019  739.2571429012411  327.23536926011764
  10.0  8.388608E7  579.1234673278443  755.0994273593953  309.6153881306989
  10.0  8.388608E7  566.1103071912445  743.7466714957002  289.2009577018099
  10.0  8.388608E7  571.1952615517425  745.4289584938612  300.83836869803304
  10.0  8.388608E7  587.7529611366032  757.9826467548075  336.1459906033471
  10.0  8.388608E7  586.5132660025939  758.2329897501828  334.0805223537647
  10.0  8.388608E7  584.9482739194304  754.6753696147475  338.59242762779684
  10.0  8.388608E7  584.888458887043  755.4775773972418  332.46002024985376
  10.0  8.388608E7  578.6146761355649  752.3296552412863  319.65723971382374
  10.0  8.388608E7  571.216716308736  748.8174964573525  298.65048092199305
  10.0  8.388608E7  587.0067879511412  757.794074475258  336.26940887333296
  10.0  8.388608E7  590.7492308077084  763.1875837787904  332.2479984774945
  10.0  8.388608E7  574.8212537591675  749.1505804887487  307.15158264288317
  10.0  8.388608E7  573.0823917536756  744.2615703851018  318.9042386450107
  10.0  8.388608E7  582.1561580992189  752.0043706547651  336.96132159968596
  10.0  8.388608E7  585.2632317816913  752.345965901078  351.13425478007605
  10.0  8.388608E7  578.5991174784301  751.8975548349248  317.50718208715085
  10.0  8.388608E7  575.8056538405918  746.9728715378493  320.3987869680681
  10.0  8.388608E7  579.3171271131075  756.5418334113027  306.16074572219065
  10.0  8.388608E7  584.7230862155751  751.8519146512438  349.81183123874854
  10.0  8.388608E7  581.2057378220796  751.388777092173  331.2519247943082
  10.0  8.388608E7  584.1988952488172  756.0482620433961  323.7813659807031
  10.0  8.388608E7  583.099130261644  752.7622026158327  334.70864624664085
  10.0  8.388608E7  576.2662412396369  743.1346591475597  344.214374093767
  10.0  8.388608E7  574.9166921026608  746.9854134800729  316.38470462606375
  10.0  8.388608E7  564.8914438044668  736.6250812592184  307.2818112608404
  10.0  8.388608E7  584.4534127313116  757.6903714774096  325.17814183315926
  10.0  8.388608E7  579.91414228003  756.4167635647412  303.27733072252215
  10.0  8.388608E7  579.0801682630322  744.500980134465  358.3016045235584
  10.0  8.388608E7  577.5048736150728  750.5610602421264  319.71504900022586
  10.0  8.388608E7  575.2931287109689  744.6051008099672  331.22336798118806
  10.0  8.388608E7  583.953505359923  751.025974302803  350.9030825977283
  10.0  8.388608E7  579.6561978566498  750.8196356002485  325.13230160475695
  10.0  8.388608E7  575.7896030723389  740.5299786972101  354.1757763300577
  10.0  8.388608E7  583.7117950904936  756.7946145116837  320.5526923670011
  10.0  8.388608E7  574.9353393829141  747.4488563430825  314.8215603001688
  10.0  8.388608E7  579.376832121758  745.2091497164017  352.67531620768324
  10.0  8.388608E7  572.5145129452106  747.3308047717318  307.94280317776776
  10.0  8.388608E7  582.2399272847689  755.9169277272381  319.591455887771
  10.0  8.388608E7  588.5235157863709  753.9500469289255  365.1137562602964
  10.0  8.388608E7  576.3001298605722  737.0828007344868  398.35506905150356
  10.0  8.388608E7  584.2299694143412  755.9148112626325  331.08993288986954
  10.0  8.388608E7  576.6485826698461  745.4808858201675  339.6481040737983
  10.0  8.388608E7  572.955988680792  748.8282039429187  297.4798669482231
