   MB       Rsize        avg              max                  min
  10.0  8.388608E7  581.4314022261885  748.4889398716057  345.8943463537143
  10.0  8.388608E7  574.9445642426195  751.6456644289519  301.44882512538396
  10.0  8.388608E7  580.0485160603762  751.4080636445626  327.55260367878753
  10.0  8.388608E7  582.4530497357655  757.4050211261143  309.48058096329
  10.0  8.388608E7  570.0986716726198  743.2846184114425  311.32022127191715
  10.0  8.388608E7  571.079761715549  738.7881144053393  336.5928251156692
  10.0  8.388608E7  571.3040244202473  750.8160111739127  286.8703796121347
  10.0  8.388608E7  583.5882896137889  757.5891253123912  318.02509684564535
  10.0  8.388608E7  565.3780243028098  741.7103054415144  294.03824713121304
  10.0  8.388608E7  585.2158912647661  752.5591127990087  350.93330805897403
  10.0  8.388608E7  575.6487737983191  744.2491176609914  331.7284720584836
  10.0  8.388608E7  580.1978012947428  757.2496254660635  305.5220918772465
  10.0  8.388608E7  587.1075364643984  747.4807623226167  414.4505772910315
  10.0  8.388608E7  581.4902531676694  753.015860642539  328.2102737942957
  10.0  8.388608E7  571.5835178218521  747.8068796539491  298.7130983558852
  10.0  8.388608E7  576.99818471761  755.0881103586481  298.62218401178984
  10.0  8.388608E7  565.9907392881453  733.8419694875262  327.51515167043436
  10.0  8.388608E7  561.0113655642687  729.7196225759419  323.3510898561911
  10.0  8.388608E7  583.0430392746218  752.9421285518799  336.48976621907207
  10.0  8.388608E7  577.9019876493223  748.6071486645403  328.9922258254911
  10.0  8.388608E7  582.2844466952882  753.0705203186584  332.77537645096135
  10.0  8.388608E7  570.1791923391182  738.515881173609  332.3836458289708
  10.0  8.388608E7  574.9865725159327  751.1900111057845  301.6291327083486
  10.0  8.388608E7  590.8402260322283  760.8006258090193  345.2585616555845
  10.0  8.388608E7  576.0544851479006  744.8596698363951  328.98366696851167
  10.0  8.388608E7  572.3600450197611  748.0345618031965  301.6998817188532
  10.0  8.388608E7  591.1782722821471  761.5744460932294  334.40463458612925
  10.0  8.388608E7  590.1989022888657  761.36727512124  336.75310868418336
