   MB       Rsize        avg              max                  min
  10.0  8.388608E7  581.6099260155211  750.4184241545601  339.6558779943036
  10.0  8.388608E7  584.6041579877933  750.4520636798895  363.8910454035289
  10.0  8.388608E7  586.2751713334584  752.5359001647294  356.84649732315603
  10.0  8.388608E7  580.1783996109132  750.4466832125794  332.7464535483028
  10.0  8.388608E7  588.4463359685117  755.8819458485407  355.3287876982405
  10.0  8.388608E7  587.9168193709505  762.0800453245772  323.2310992678967
  10.0  8.388608E7  567.6508216941503  748.4174717336979  273.9758005393579
  10.0  8.388608E7  568.314195279034  737.4598594292265  324.33566636187874
  10.0  8.388608E7  591.1246382544643  762.3075969896204  333.8565685581599
  10.0  8.388608E7  581.967473050696  750.9434668326224  342.6463102048151
  10.0  8.388608E7  579.8108135891222  756.1448572871232  303.5470501779614
  10.0  8.388608E7  591.8036734615544  759.8601482818323  352.8153902115272
  10.0  8.388608E7  578.6947600374855  747.0552913779071  340.5489129113505
  10.0  8.388608E7  572.621783450202  750.8566955722578  284.86294355969557
  10.0  8.388608E7  593.2512837471268  757.6245579073512  377.18955932880584
  10.0  8.388608E7  587.0245213564932  758.7482863622203  332.2571269425916
  10.0  8.388608E7  584.1138736162535  757.6564868269331  320.09446399795326
  10.0  8.388608E7  579.1725959925006  748.6675558565885  337.0225768295437
  10.0  8.388608E7  582.3091428060424  756.5004006142109  317.16133588717685
  10.0  8.388608E7  571.1224099994778  738.3519419188104  334.94168073932684
  10.0  8.388608E7  579.8928342663013  750.5789124347245  328.4090825527825
  10.0  8.388608E7  581.0365132342886  750.5137285816484  336.93143775141186
  10.0  8.388608E7  583.2910069776667  758.2915949847715  313.9468703284829
  10.0  8.388608E7  584.5639400630715  751.4974441186131  352.1943345068881
  10.0  8.388608E7  575.1534805972049  749.0296275208577  309.9503445480743
  10.0  8.388608E7  580.7739758691206  748.8397263263328  341.94353632549286
  10.0  8.388608E7  579.1927203343616  747.8884317491634  337.2711373542896
  10.0  8.388608E7  573.9332828712843  744.0205228166359  324.69139979951143
  10.0  8.388608E7  570.2943122987225  739.0137544338988  320.2074202042865
  10.0  8.388608E7  585.1913083453838  755.6395674409017  337.16502276708013
  10.0  8.388608E7  575.5548332742153  747.0258529278736  322.4412795483084
  10.0  8.388608E7  591.4082935286355  762.990468379328  337.90433778136753
  10.0  8.388608E7  582.3849953288224  749.8025421156473  350.8603358615965
  10.0  8.388608E7  576.6626313144941  748.8466634611848  320.53374963804856
  10.0  8.388608E7  583.6381603302589  749.5828151446382  359.4147179324697
  10.0  8.388608E7  579.9034093011293  744.4732143711067  363.0042402347707
  10.0  8.388608E7  579.6008757267281  752.0676689792018  320.5343179354518
  10.0  8.388608E7  578.9164464890018  752.538442728869  323.4906725933895
  10.0  8.388608E7  579.2124100128822  750.9971024324024  325.5478432054235
  10.0  8.388608E7  572.169782282289  745.8772053868181  309.1692933329328
  10.0  8.388608E7  588.1256354850241  755.7924586046076  356.4072069905749
  10.0  8.388608E7  577.7340566049021  743.2802264710533  352.5898633129518
  10.0  8.388608E7  587.9019293007664  751.0393158333242  381.5669021630554
  10.0  8.388608E7  575.4975103342309  749.7891701897668  305.29082505750284
  10.0  8.388608E7  583.2240444792417  750.5378582052006  347.59686706020767
  10.0  8.388608E7  577.2441069291391  749.8161139257899  318.134467047376
  10.0  8.388608E7  582.0515168809106  753.585145060937  324.7466308296118
  10.0  8.388608E7  570.4014182889216  742.2921205184396  318.3208638001717
  10.0  8.388608E7  577.7967254995449  746.9563684060413  333.07621923690783
  10.0  8.388608E7  573.4083731355593  751.1030964518345  304.1440044183564
  10.0  8.388608E7  582.3745992426324  753.7804511316972  330.77982834579535
  10.0  8.388608E7  586.8770018723358  759.5648897670119  324.58321326390114
  10.0  8.388608E7  572.6966930794754  747.0713625223091  304.8993516435249
  10.0  8.388608E7  595.193186243368  761.1301434516431  366.2987022457065
  10.0  8.388608E7  574.1964845548259  746.2497362145228  316.39626082407426
  10.0  8.388608E7  576.1174237295705  750.5383073240345  310.4174408039759
  10.0  8.388608E7  571.5281608766197  739.4374247334168  335.44357267252207
  10.0  8.388608E7  562.1564782543745  737.9883514693925  286.3649550587423
  10.0  8.388608E7  578.8226493581508  750.9647926596072  322.9573607997362
